,title,score
0,봉산평양냉면,4.5
1,소울보이,4.0
2,은성보쌈,4.0
3,원효로,3.5
4,일신기사식당,4.0
5,코르테,4.0
6,삼일식당,4.0
7,스시카나에,4.5
8,스시카나에,4.5
9,바티센트 Bar Tea Scent,3.5
10,티톨로,3.5
11,소나,4.5
12,스시카나,4.5
13,조리인,5.0
14,에빗,5.0
15,오르조 애프터8,4.0
16,거대갈비,5.0
17,스시연,5.0
18,팔레트,5.0
19,HOME,4.0
